id,city,email,house_number,internet_access,internet_access_fee,latitude,longitude,municipality;,name,phone,postcode,property_type,rooms,smoking,stars,street,website
0,Скопје,null,null,yes,yes,41.9766582,21.4087904,Општина Карпош;,Хотел Водно,null,1000.0,hotel,null,outside,5.0,R2138,http://hotelimakedonija.com.mk/mk/Hotel/57/Hotel-Vodno-Skopje
1,Скопје,null,null,yes,no,41.9761668,21.4358015,Општина Кисела Вода;,Hotel Imperial,null,1054.0,hotel,null,outside,3.0,Благоја Гојан,null
2,Скопје,null,null,yes,no,41.9762321,21.4362154,Општина Кисела Вода;,Sun Hotel,null,1054.0,hotel,null,separated,3.0,Благоја Гојан,null
3,Скопје,null,null,yes,yes,41.9899385,21.454931,Општина Аеродром;,hotel porta,null,1001.0,hotel,null,separated,5.0,Булевар Јане Сандански,http://www.hotelporta.com.mk/
4,Скопје,null,28,yes,yes,41.9899482,21.4198508,Општина Центар;,Хотел 7,null,1000.0,hotel,null,outside,5.0,Булевар Мајка Тереза,null
5,Скопје,null,null,yes,no,42.0037446,21.4244806,Општина Центар;,Канет,null,1111.0,hotel,null,separated,4.0,Наум Наумовски Борче,null
6,Скопје,null,null,yes,no,41.9944128,21.4063454,Општина Карпош,Вук;Никем,null,1020.0,hostel,null,outside,2.0,Миле Поп Јорданов,null
7,Скопје,info@orangeinn.com.mk,null,no,no,41.980192,21.440152,Општина Кисела Вода;,Hotel Orange Inn,+38922772254,1001.0,hotel,null,outside,2.0,Тодор Паница,https://www.booking.com/hotel/mk/orange-inn.en-gb.html?sid=1ddd35f0ef4f22510d37f152a78ce4a3
8,Скопје,null,null,yes,yes,41.9842736,21.4340308,Општина Кисела Вода;,Хостел Хостел,null,1111.0,hostel,null,outside,4.0,Антон Попов,null
9,Скопје,null,6,yes,no,41.9849555,21.4321318,Општина Кисела Вода;,Сити Хостел,+38970226165,1000.0,hostel,null,outside,2.0,Томе Арсовски,null
10,Скопје,null,null,yes,yes,41.9801123,21.4249793,Општина Центар;,Хотел Турена,null,1000.0,hotel,null,separated,1.0,Тодор Александров,null
11,Скопје,null,24,yes,no,41.9843835,21.4262323,Општина Центар;,Александар,null,1000.0,hotel,null,isolated,1.0,Востаничка,null
12,Скопје,null,null,yes,no,41.9948912,21.4329531,Општина Центар;,Hotel City Central International,null,1111.0,hotel,null,outside,1.0,11 Октомври,null
13,Скопје,null,null,yes,no,42.0055458,21.3755273,Општина Карпош;,Мрамор,null,1060.0,hotel,null,outside,5.0,Кленоец,null
14,Скопје,null,null,yes,no,41.9941717,21.4068121,Општина Карпош;,Hotel Kapistec,null,1020.0,hotel,null,outside,1.0,Миле Поп Јорданов,null
15,Скопје,null,47,yes,no,41.9824332,21.4347873,Општина Кисела Вода;,Кастело,+38970631832,1111.0,hostel,null,outside,4.0,Томе Арсовски,https://hostelkalonis.wordpress.com/
16,Скопје,null,11,no,no,41.9921961,21.4208286,Општина Центар;,Rezidencija Ancevski,null,1000.0,guest_house,null,separated,3.0,Васил Ѓоргов,null
